,id,text,intent,label
0,16905,שלח אימייל למשפחה שלי לספר להם על התכניות שלי ליום ההולדת,email_sendemail,5
1,12589,תוכל להזמין כרטיס רכבת ליבנה למעני,transport_ticket,8
2,1633,הראה לי את ההתראות שלי,alarm_query,0
3,583,תהיה שקיעה מחר בשעה חמש וחצי בערב,weather_query,9
4,6970,מחק אירוע,calendar_remove,2
5,3584,מה שלושת ההתראות הבאות שיפעלו,alarm_query,0
6,347,מה תחזיות מזג האוויר של מחר,weather_query,9
7,6143,מה יהיה מזג האוויר בעוד שבועיים,weather_query,9
8,952,האם מזג האוויר עכשיו בקצרין גרוע,weather_query,9
9,5946,תשאלי את חברה שלי איך מזג האוויר שם,weather_query,9
10,16969,שליחת האימייל ל פלוני בג'ימייל נקודה קום במקום אלמוני בג'ימייל נקודה קום,email_sendemail,5
11,8370,היי סירי נקה את כל התורים ביומן שלי היום,calendar_remove,2
12,5768,רועש מדי,audio_volume_down,1
13,8332,מחק את האימון שלי מהיום,calendar_remove,2
14,4525,מה תחזית מזג האוויר להיום,weather_query,9
15,3141,תדבר יותר בשקט בבקשה,audio_volume_down,1
16,8476,אנא מחק אירוע זה,calendar_remove,2
17,3648,איך מזג האוויר בצפת,weather_query,9
18,3963,האם יש התראות כל שהן להיום,alarm_query,0
19,12855,הזמן כרטיס להיום באתר irctc למידע המאוחסן,transport_ticket,8
20,4219,אני צריך מעיל בחוץ עכשיו,weather_query,9
21,15758,היי שלח מייל לרוני על הפגישה שלנו,email_sendemail,5
22,12653,תזמיני כרטיס רכבת ללוס אנג'לס,transport_ticket,8
23,10013,תבחרי מתכון,cooking_recipe,3
24,5235,מטריה יותר מאוחר,weather_query,9
25,4210,אני צריך ללבוש מעיל כשאני יוצא לעבודה מחר,weather_query,9
26,10064,כמה ירקות כדאי לי לאכול ביום,cooking_recipe,3
27,6769,תידחי את האירוע הבא שלי,calendar_remove,2
28,12614,תזמיני כרטיס רכבת מאשדוד לחיפה,transport_ticket,8
29,8002,תמחק את הפגישה שלי מחר,calendar_remove,2
30,10149,מצא את המתכון שמדורג הכי גבוה מניקי ב בשביל חביתת ארבע גבינות,cooking_recipe,3
31,1503,אם ארבע אחר הצהריים באשדוד מה תיהיה השעה בלונדון,datetime_convert,4
32,11870,איזה סרטים יש כרגע באזור שלי,recommendation_movies,7
33,1391,אולי האם יהיה נחמד ביום שבת,weather_query,9
34,12396,תזמיני כרטיס רכבת לעיר יבנה,transport_ticket,8
35,9762,נגן אישה בורחת מבשורה של דויד גרוסמן,play_audiobook,6
36,8855,בבקשה תמחק את כל האירועים ביומן,calendar_remove,2
37,15951,צור טיוטת תגובה למייל של יוני,email_sendemail,5
38,859,תחזית מזג האוויר,weather_query,9
39,5504,האם הפעלתי את אזעקת הבית,alarm_query,0
40,17012,אני צריך לשלוח אימייל אל אס די אף איי שטרודל הוטמייל נקודה קום,email_sendemail,5
41,5231,כדאי ללבוש מגפי גשם,weather_query,9
42,12172,הזמן לי כרטיס רכבת היום לרמת גן,transport_ticket,8
43,3388,מה יהיה מזג האוויר באילת היום,weather_query,9
44,12331,olly הזמן לי כרטיס רכבת לניו יורק סיטי בשלישי לא אכפת לי באיזו שעה,transport_ticket,8
45,5645,איך יהיה מזג האוויר היום בערב,weather_query,9
46,9894,המשיכי לנגן את אישה בורחת מבשורה,play_audiobook,6
47,8477,האם תוכל למחוק את האירוע הזה,calendar_remove,2
48,12100,מה מציג בקולנוע לב,recommendation_movies,7
49,10044,איך אני מכין קדירת טונה מההתחלה,cooking_recipe,3
50,17150,אלכסה אני רוצה לבדוק מהם תאריכים פנויים של גליה את יכולה לשלוח לה מייל ולשאול אותה על זה,email_sendemail,5
51,4327,האם קר מידי ללכת לשחות,weather_query,9
52,9093,הסר את כל האירועים ביומן לחודש מרץ,calendar_remove,2
53,11957,איזה סרטים יש באזור שלי הולי,recommendation_movies,7
54,16884,תשלחי מייל לאמא ותשאלי אם היא מסוגלת להזמין את הספר מאמזון שסיפרתי לה עליו,email_sendemail,5
55,9813,תשמיע דבר ראשון את ספר האודיו ברבור,play_audiobook,6
56,12594,גוגל תוכל להזמין לי כרטיס רכבת למחר,transport_ticket,8
57,16268,השב למייל של יונתן מהיום בבוקר,email_sendemail,5
58,9859,תפתח אודיו והמשך לנגן את הספר שהקשבתי לו,play_audiobook,6
59,5448,נראה שמשי ובהיר היום האם זה נכון,weather_query,9
60,1724,מה הטמפרטורה הכי גבוהה באילת,weather_query,9
61,9786,נגן את הספר שלי,play_audiobook,6
62,16180,תשלחי אימייל למיקי תגידי לו שניפגש היום בשבע בערב לארוחת ערב בבית קפה,email_sendemail,5
63,12459,הראה לי כרטיסי רכבת,transport_ticket,8
64,356,מה ההתראה הבאה שלי,alarm_query,0
65,15860,שלחי אימייל לאמא לשאול על מזג האוויר,email_sendemail,5
66,5144,תגיד לי איזה יום יהיה גשום על פי תחזית מזג האוויר,weather_query,9
67,9687,נגן הארץ המובטחת,play_audiobook,6
68,4760,יש שלג בתחזית,weather_query,9
69,10069,כמה כפות יש בכוס,cooking_recipe,3
70,5210,איזה התראות יש לי היום,alarm_query,0
71,10183,מה זה חלפיניו,cooking_recipe,3
72,6574,התחממות גלובלית,weather_query,9
73,12897,אני צריך כרטיס זהב לרכבת מספר חמש תוך שימוש בכרטיס האשראי שלי,transport_ticket,8
74,16906,שלחי אימייל למשפחה שלי לשאול מה נשמע אצלם,email_sendemail,5
75,8813,בבקשה תרוקן את היומן שלי,calendar_remove,2
76,5248,אולי אני צריך לקחת מעיל היום,weather_query,9
77,6082,אני צריך לתכנן לחפור את דרכי מחוץ לבית,weather_query,9
78,16212,שלח מייל לאבא איך מזג האוויר השבוע,email_sendemail,5
79,9696,המשך את ההשמעה של אחות קטנה,play_audiobook,6
80,4636,הנמך את הווליום של הרמקול,audio_volume_down,1
81,16205,כתוב את ההודעה לשותף לקבוצת שותפים לעבודה,email_sendemail,5
82,1052,מה הסיכויים לגשם היום,weather_query,9
83,5337,אלכסה תגידי לי את זמני ההתראה שהגדרת,alarm_query,0
84,9981,בשלי לי קצת פסטה עם גבינה ודבש בתוכה,cooking_recipe,3
85,3504,מה מזג האוויר בתל אביב היום,weather_query,9
86,9089,פנה לי את היומן החודש,calendar_remove,2
87,4595,האם יהיו ימים של ארבעים מעלות בשבוע הבא,weather_query,9
88,16755,תשלחי אימייל קולי,email_sendemail,5
89,7760,הסר את האירוע הזה מהיומן שלי,calendar_remove,2
90,10098,אתה יכול להכין טוסט גבינה,cooking_recipe,3
91,11793,אני צריך סרט בורקס טוב הצעות כלשהן,recommendation_movies,7
92,9129,מחק את האירוע הבא בלוח השנה,calendar_remove,2
93,6872,תוכל למחוק את האירוע הנוכחי,calendar_remove,2
94,10116,אולי איך את עושה עוף על האש,cooking_recipe,3
95,789,איך היה מזג האוויר השבוע,weather_query,9
96,3033,מה מזג האוויר כרגע,weather_query,9
97,16839,תשלחי מייל לאשתי,email_sendemail,5
98,5303,אלכסה מה יהיה מזג האוויר בתאריך העשרים במרץ אלפים ושבע עשרה,weather_query,9
99,8341,מחק את המאורע הבא שלי,calendar_remove,2
100,4627,אמור לרדת גשם מחר,weather_query,9
101,1251,תני לי את התחזית של השבוע,weather_query,9
102,3375,מה תהיה השעה המקומית בשעה תשע בבוקר בבנגלור הודו,datetime_convert,4
103,5120,תבדקי אם יש איזושהי התראה אחר חמש בבוקר,alarm_query,0
104,7701,תסיר את כל האירועים מהיומן שלי,calendar_remove,2
105,3885,אילו שעונים מעוררים מוגדרים כרגע,alarm_query,0
106,12147,olly אני צריך להגיע לאשדוד יום שישי בלילה תוכלי להזמין לי כרטיס בקשה,transport_ticket,8
107,4107,איזה התראות פעילות בטלפון,alarm_query,0
108,6088,הולך להיות שמשי ביום שלישי בשבוע הבא,weather_query,9
109,17154,השב בבקשה למייל הזה,email_sendemail,5
110,12523,תוכל להזמין לי כרטיס רכבת תחת מאה דולר,transport_ticket,8
111,15855,העברת כתובת אימייל למייל החדש שלי,email_sendemail,5
112,8109,תמחק את האירוע הבא ביומן,calendar_remove,2
113,10118,באיזה טמפרטורה צריך לבשל עוף,cooking_recipe,3
114,10161,מה הולך ליד אורז יין,cooking_recipe,3
115,690,זה חזק מידי הנמך את הווליום,audio_volume_down,1
116,5731,האם זה יום גשום וסוער,weather_query,9
117,6153,תגיד לי מה מזג האוויר הנוכחי,weather_query,9
118,1514,אמור לרדת גשם הלילה,weather_query,9
119,9699,התחל קובץ ספר אודיו מאיפה שהפסקתי של אישה בורחת מבשורה,play_audiobook,6
120,1037,איזה התראות הגדרתי ליום חמישי,alarm_query,0
121,10124,איך אני מכין עוגיות חמאת בוטנים,cooking_recipe,3
122,9196,בבקשה מחק את אירוע זה ביומן,calendar_remove,2
123,15764,שלום אנא השב למייל האחרון של משה,email_sendemail,5
124,9685,תמשיך לקרוא,play_audiobook,6
125,12192,תזמיני נסיעה מאשדוד ליבנה שמכסה עשרה מקומות לראות,transport_ticket,8
126,8183,האם אתה יכול להסיר תור לרופא שיניים מהיומן שלי,calendar_remove,2
127,9906,הפעל את הספר הקולי הזה,play_audiobook,6
128,10008,אולי ספרי איך ירקות מתבשלים,cooking_recipe,3
129,8369,שלום אולי נקי את כל פגישות היומן שלי להיום,calendar_remove,2
130,12752,תזמיני בבקשה כרטיס מאשדוד ליבנה שיוצאת בראשון לאפריל,transport_ticket,8
131,1920,מה מזג האוויר לשבוע הלימודים,weather_query,9
132,12538,olly מצא לי את כרטיס הרכבת הכי זול לתל אביב,transport_ticket,8
133,13435,מה המתכון הכי טוב למרגריטה,cooking_recipe,3
134,16111,יש לענות לכל האימיילים שמתקבלים כל יום בין עשר בלילה לשבע בבוקר,email_sendemail,5
135,9675,תוכל לנגן את ספר האודיו המועדף עליי קינג קונג,play_audiobook,6
136,3707,מה יהיה מזג האוויר בתאריך,weather_query,9
137,16981,שלח מייל ליוסף,email_sendemail,5
138,16307,תיצרי אימייל שאני צריך לצאת למשפחה שלי,email_sendemail,5
139,9684,המשך ספר אודיו,play_audiobook,6
140,8472,הסר את כל האירועים מהיומן,calendar_remove,2
141,5778,מה מזג האוויר,weather_query,9
142,4706,מה התחזית באיזור שלי היום,weather_query,9
143,2857,מה יהיה מזג האוויר היום,weather_query,9
144,7078,מחק את כל לוח השנה שלי,calendar_remove,2
145,238,האם יש התראות כלשהם,alarm_query,0
146,3795,כמה מעלות בירושלים עכשיו,weather_query,9
147,16500,תשלחי בבקשה אימייל לבעלי אני אאחר הלילה,email_sendemail,5
148,7307,נקה את כל האירועים לחודש זה,calendar_remove,2
149,3122,מה אני צריך ללבוש קר בחוץ,weather_query,9
150,1350,מה תחזית מזג האווירי לשבוע הזה,weather_query,9
151,16516,השב לאימייל הזה,email_sendemail,5
152,1203,תבדקי מה מזג האוויר השבוע באשקלון,weather_query,9
153,12351,הזמן כרטיס לרכבת עם מקום שינה לאשדוד לשבוע הבא,transport_ticket,8
154,7984,תמחק את כל היומן שלי היום,calendar_remove,2
155,16957,תתחיל אימייל לבעלי,email_sendemail,5
156,7430,אני רוצה שהאירוע הזה יוסר מהיומן שלי,calendar_remove,2
157,3585,מה מזג האוויר בתל אביב,weather_query,9
158,4108,האם יש התראה בארבע בבוקר,alarm_query,0
159,16510,תשלחי את התשובה הזאת לאימייל שהתקבל,email_sendemail,5
160,5790,חם היום,weather_query,9
161,343,איך יהיה מזג האוויר מחר,weather_query,9
162,9825,המשך את השיר מהספר אודיו של אייל גולן,play_audiobook,6
163,4374,תראי לי את ההתראות שמוגדרות,alarm_query,0
164,12471,קני כרטיס רכבת,transport_ticket,8
165,740,כמה לח היום,weather_query,9
166,6884,מחק את הפגישה מחר בעשר בבוקר,calendar_remove,2
167,10066,תגיד לי מהו המתכון בשביל פירה,cooking_recipe,3
168,6020,האם אני יכול לדעת איזה התראה שמת,alarm_query,0
169,16835,שלחי את המייל הזה לכתובת החדשה הזו,email_sendemail,5
170,96,האם יורד גשם,weather_query,9
171,2671,תוכלי לבדוק בבקשה אם הגדרתי התראה למחר בבוקר,alarm_query,0
172,236,האם יש לי שעון מעורר מוגדר לטיסת הבוקר,alarm_query,0
173,5464,האם אני צריך מכנסיים,weather_query,9
174,3965,הצג לי רשימת התראות,alarm_query,0
175,5112,אני צריך מעיל גשם ביום למחרת,weather_query,9
176,11728,איזה סרט שובר קופות השבוע,recommendation_movies,7
177,6030,אוכל יינתן בתערוכה,weather_query,9
178,9991,תראה לי מדריכי בישול,cooking_recipe,3
179,3506,מה התחזית של היום,weather_query,9
180,15780,תשלחי אימייל לקרין מה שלומך את יכולה לשלוח לי עדכון על הפרויקט האחרון,email_sendemail,5
181,7173,תמחק,calendar_remove,2
182,2111,מתי שכאן עשר בערב מה השעה באשקלון,datetime_convert,4
183,6957,נקה את לוח השנה שלי,calendar_remove,2
184,16511,תשלחי לדוד אימייל האם יש לך תוכניות הערב רוצה ללכת לארוחת ערב,email_sendemail,5
185,8814,לך לאירוע היום ותמחק,calendar_remove,2
186,9866,תמשיך את התכנית מאיפה שהפסקתי אתמול,play_audiobook,6
187,1019,הולך לרדת שלג היום,weather_query,9
188,8970,תמחקי את כל ההופעות שביומן,calendar_remove,2
189,10046,איך אני מבשל סטייק מדיום רייר,cooking_recipe,3
190,12198,הזמן לי כרטיס רכבת לגבעתיים,transport_ticket,8
191,10244,בבקשה חפש מתכונים הכי טובים,cooking_recipe,3
192,9828,המשך את הפלייבק,play_audiobook,6
193,2634,הנמך את הרמקולים,audio_volume_down,1
194,9784,אני צריכה הפסקה תתחיל את זה אחרי חמש דקות,play_audiobook,6
195,6972,הסר אירוע,calendar_remove,2
196,12173,מצה לי כרטיס רכבת ליום שני הבא לתל אביב,transport_ticket,8
197,831,היי גוגל היי חם מדי בחוץ מה הטמפרטורה אחר הצהריים,weather_query,9
198,9759,להפסיק להמשיך,play_audiobook,6
199,7391,אני כבר לא אצטרף ל אמא ל ארוחת צהריים מחר,calendar_remove,2
200,3095,מה מזג האוויר באשדוד,weather_query,9
201,7987,תמחקי את האירוע הזה מהיומן שלי,calendar_remove,2
202,203,הצג לי את השעונים המעוררים שהגדרתי,alarm_query,0
203,3531,את יכולה לשנות את אזור הזמן לישראל בבקשה,datetime_convert,4
204,16675,שלח מייל לדנידני שטרודל ג'ימייל נקודה קום,email_sendemail,5
205,8713,בטל ארוחת צהריים במסעדה המוזמנת לעשרים וחמש במאי,calendar_remove,2
206,2248,מזג האוויר השתנה ליום רביעי בכלל,weather_query,9
207,9036,תבטלי את כל האירועים להיום ותגדירי אותי כעסוק,calendar_remove,2
208,3664,את יכולה לומר לי מה הטמפרטורה לשבת בלילה,weather_query,9
209,16517,אני רוצה להשיב,email_sendemail,5
210,792,האם הקיץ קורה,weather_query,9
211,2059,יורד גשם,weather_query,9
212,5711,כדאי לי לקחת מעיל לירושלים הערב,weather_query,9
213,12156,קנה כרטיס רכבת אל,transport_ticket,8
214,5602,הולך להיות נעים השבוע,weather_query,9
215,13441,מה הטמפרטורה היום,weather_query,9
216,1339,איזה התראות מוגדרות לבוקר,alarm_query,0
217,16053,תשלחי לרני אימייל לעבודה,email_sendemail,5
